No base-stacking information is found. Performing alignment based on base-pairing information.
#fragment_ID	aligned_regions	alignment_score	P-value
1S72_0:1656-1662_1525-1531	4:'0'1662-6:'0'1664,7:'0'1527-9:'0'1529	60	0.0216696
1S72_0:1525-1531_1656-1662	4:'0'1531-6:'0'1533,7:'0'1658-9:'0'1660	60	0.0216696
1S72_0:2687-2694_2697-2703_2564-2565	0:'0'2689-2:'0'2691,12:'0'2703-14:'0'2705	59.2	0.0224456
1S72_0:1365-1372_2049-2055	0:'0'1367-2:'0'1369,12:'0'2055-14:'0'2057	59.2	0.0224456
1S72_0:208-215_221-227	0:'0'210-2:'0'212,12:'0'227-14:'0'229	59.2	0.0224456
1S72_0:2387-2393_2395-2397_925-926	0:'0'2389-2:'0'2391,7:'0'2397-9:'0'2399	58.8	0.0228493
1S72_0:1771-1774_1765-1769_2015-2017	1:'0'1774-3:'0'1776,4:'0'1767-6:'0'1769	57.6	0.024128
1S72_0:1492-1493_1615-1622_1570-1577	7:'0'1622-9:'0'1624,10:'0'1572-12:'0'1574	55.6	0.0265111
1S72_0:1224-1230_2518-2522_1128-1134	2:'0'1228-5:'0'1231,10:'0'2523-10:'0'2523,14:'0'1132-16:'0'1134	55.2	0.0270299
1S72_0:217-220_165-172_159-163	9:'0'172-11:'0'174,12:'0'161-14:'0'163	55.2	0.0270299
