#fragment_ID	aligned_regions	alignment_score	P-value
1S72_0:1658-1663_1519-1520_1524-1529	2:'0'1662-5:'0'1665,6:'0'1521-6:'0'1521,9:'0'1527-11:'0'1529	71	0.0146075
1S72_0:1524-1531_1656-1662	5:'0'1531-7:'0'1533,8:'0'1658-10:'0'1660	62.4	0.02031
1S72_0:2685-2691_2701-2706	2:'0'2689-6:'0'2693,7:'0'2703-9:'0'2705	62	0.0206527
1S72_0:1771-1776_1757-1769_1816-1817	1:'0'1774-3:'0'1776,14:'0'1767-16:'0'1769	60.8	0.0217346
1S72_0:208-215_221-227	0:'0'210-2:'0'212,12:'0'227-14:'0'229	60.8	0.0217346
1S72_0:2383-2389_2394-2402	4:'0'2389-6:'0'2391,8:'0'2397-10:'0'2399	60.4	0.0221142
1S72_0:1365-1372_2049-2056	0:'0'1367-2:'0'1369,12:'0'2055-14:'0'2057	60	0.0225039
1S72_0:165-174_217-220_159-163	5:'0'172-9:'0'176,14:'0'161-16:'0'163	59	0.0235242
1S72_0:1492-1493_1614-1624_1570-1577	8:'0'1622-10:'0'1624,13:'0'1572-15:'0'1574	57.2	0.0255441
1S72_0:1224-1230_2518-2522_1128-1136	2:'0'1228-5:'0'1231,10:'0'2523-10:'0'2523,14:'0'1132-16:'0'1134	56.8	0.0260283
