#fragment_ID	aligned_regions	alignment_score	P-value
1S72_0:1364-1370_2051-2056	2:'0'1368-6:'0'1372,7:'0'2053-10:'0'2056	157.2	0.0059035
1S72_0:680-681_207-213_223-229	4:'0'211-8:'0'215,9:'0'225-12:'0'228	156.4	0.00597404
1S72_0:2687-2692_2699-2704	1:'0'2690-5:'0'2694,6:'0'2701-9:'0'2704	156.4	0.00597404
1S72_0:219-220_165-175_157-163	8:'0'173-12:'0'177,13:'0'159-16:'0'162	156	0.00600979
1S72_0:1068-1069_1290-1293_908-912	0:'0'1070-1:'0'1071,2:'0'1292-4:'0'1294,7:'0'911-10:'0'914	142	0.00749518
1S72_0:353-358_290-294	1:'0'356-5:'0'360,6:'0'292-9:'0'295	134.6	0.00851364
1S72_0:2300-2301_948-953_1010-1016	0:'0'2302-0:'0'2302,5:'0'953-7:'0'955,8:'0'1012-10:'0'1014	124.4	0.010296
1S72_0:450-464_473-477	11:'0'463-14:'0'466,15:'0'475-17:'0'477	123.6	0.010459
1S72_0:426-429_376-382_403-408	6:'0'380-9:'0'383,12:'0'406-14:'0'408	114.8	0.0125389
1S72_0:583-589_565-570	1:'0'586-5:'0'590,8:'0'568-11:'0'571	108.6	0.0144008
1S72_0:1887-1893_1964-1971_2007-2008	12:'0'1971-14:'0'1973,15:'0'2009-16:'0'2010	79.6	0.03259
1S72_0:1654-1656_1450-1457_1482-1489	1:'0'1657-1:'0'1657,8:'0'1457-9:'0'1458,11:'0'1484-12:'0'1485	56.2	0.0926641
1S72_0:1256-1261_563-565_1091-1096	0:'0'1258-3:'0'1261,8:'0'567-8:'0'567,10:'0'1094-13:'0'1097	45.2	0.201928
1S72_0:640-644_757-761_1353-1358	0:'0'642-4:'0'646,5:'0'759-7:'0'761,10:'0'1355-12:'0'1357	42.8	0.251466
1S72_0:1526-1531_1656-1661	4:'0'1532-5:'0'1533,6:'0'1658-7:'0'1659	42.6	0.256397
1S72_0:1658-1663_1524-1529_1519-1520	3:'0'1663-4:'0'1664,7:'0'1527-8:'0'1528	41.8	0.277644
1S72_0:2387-2389_2392-2397_925-926	1:'0'2390-2:'0'2391,6:'0'2397-7:'0'2398	41.4	0.289272
1S72_0:1771-1777_1763-1768	2:'0'1775-3:'0'1776,9:'0'1767-10:'0'1768	41.4	0.289272
1S72_0:1492-1493_1620-1625_1568-1572	3:'0'1623-4:'0'1624,10:'0'1572-11:'0'1573	37	0.485342
1S72_0:2518-2525_1227-1231_1128-1131	8:'0'1229-9:'0'1230,15:'0'1132-16:'0'1133	37	0.485342
1S72_0:2349-2350_2367-2369_2327-2331	1:'0'2352-1:'0'2352,2:'0'2369-4:'0'2371,5:'0'2329-8:'0'2332	36.7	0.505493
1S72_0:201-204_187-192_432-436	1:'0'204-1:'0'204,5:'0'190-6:'0'191,11:'0'435-12:'0'436	35.8	0.574089
1S72_0:1158-1162_1188-1194_1202-1205	0:'0'1160-0:'0'1160,6:'0'1191-9:'0'1194,14:'0'1206-15:'0'1207	33.2	0.87453
1S72_0:1257-1259_1083-1086_1067-1072	0:'0'1259-2:'0'1261,6:'0'1088-6:'0'1088,10:'0'1072-12:'0'1074	22	1
1S72_0:1987-1998	3:'0'1992-5:'0'1994	21.8	1
1S72_0:1157-1159_1203-1205_1184-1192	7:'0'1187-9:'0'1189	21.8	1
1S72_0:1010-1016_948-953_2300-2301	4:'0'1016-4:'0'1016,14:'0'2303-14:'0'2303	21.8	1
1S72_0:691-692_728-732_734-740	6:'0'734-6:'0'734,7:'0'736-7:'0'736	21.8	1
1S72_0:1637-1642_1613-1616_1540-1544	1:'0'1640-1:'0'1640,13:'0'1545-13:'0'1545	21.8	1
1S72_0:1494-1498_1500-1508_1445-1446	4:'0'1500-4:'0'1500,5:'0'1502-5:'0'1502	21.8	1
1S72_0:1588-1601	6:'0'1596-8:'0'1598	21.8	1
1S72_0:2287-2290_2277-2279_919-920	5:'0'2280-5:'0'2280,8:'0'922-8:'0'922	21.4	1
1S72_0:1879-1884_2014-2015_1844-1849	3:'0'1884-3:'0'1884,9:'0'1847-9:'0'1847	21.4	1
1S72_0:1622-1627_1629-1631_1566-1569	5:'0'1629-5:'0'1629,6:'0'1631-6:'0'1631	21.4	1
1S72_0:859-860_1482-1486_1455-1457	2:'0'1484-2:'0'1484,9:'0'1459-9:'0'1459	21.4	1
1S72_0:1463-1467_1469-1477_1863-1864	4:'0'1469-4:'0'1469,5:'0'1471-5:'0'1471	21.4	1
1S72_0:314-315_1337-1341_1311-1316	2:'0'1339-2:'0'1339,12:'0'1318-12:'0'1318	21.4	1
1S72_0:1048-1053_1055-1063	5:'0'1055-5:'0'1055,6:'0'1057-6:'0'1057	21.4	1
1S72_0:855-856_849-854_824-828	5:'0'854-5:'0'854,9:'0'827-9:'0'827	21.4	1
1S72_0:813-820_791-796	1:'0'816-1:'0'816,12:'0'797-12:'0'797	21.4	1
