"NR_all_97662.1","9LUV|1|D","9LUV|1|D,9LUV|1|C"
"NR_all_55059.1","9LZT|1|A","9LZT|1|A"
"NR_all_79531.3","9F1U|1|X+9F1U|1|Z","9F1U|1|X+9F1U|1|Z,9F2W|1|X+9F2W|1|Y"
"NR_all_01699.1","9M30|1|B","9M30|1|B"
"NR_all_77240.1","9F2L|1|X+9F2L|1|Y","9F2L|1|X+9F2L|1|Y"
"NR_all_38112.1","9M33|1|B+9M33|1|C","9M33|1|B+9M33|1|C,9M34|1|B+9M34|1|C"
"NR_all_92599.1","9FCO|1|Y","9FCO|1|Y"
"NR_all_95931.2","9M86|1|D","9M86|1|D,9M86|1|B"
"NR_all_87365.3","9FHL|1|2","9FHL|1|2,9FRA|1|2,9FSF|1|2,9FY0|1|2,9FS6|1|2,9FRK|1|2,9FRL|1|2,9FS8|1|2"
"NR_all_32537.1","9M8Q|1|B+9M8Q|1|C","9M8Q|1|B+9M8Q|1|C"
"NR_all_09257.1","9MCW|1|B+9MCW|1|A","9MCW|1|B+9MCW|1|A"
"NR_all_47794.1","9FHL|1|4","9FHL|1|4"
"NR_all_88421.1","9NDP|1|2","9NDP|1|2,9MR4|1|2"
"NR_all_80614.1","9FI8|1|hB","9FI8|1|hB"
"NR_all_12464.2","9MTS|1|1x","9MTS|1|1x,9MTQ|1|1x,9MTP|1|1x,9MTQ|1|2x,9MTS|1|2x,9MTP|1|2x,9MTR|1|1x,9MTT|1|1x,9MTT|1|2x,9MTR|1|2x"
"NR_all_65418.1","9FI8|1|hG+9FI8|1|bN","9FI8|1|hG+9FI8|1|bN"
"NR_all_72450.1","9FI8|1|hM","9FI8|1|hM"
"NR_all_82060.1","17RA|7|A","17RA|7|A"
"NR_all_02585.1","9FI8|1|hS","9FI8|1|hS"
"NR_all_38474.2","4NIA|1|a+4NIA|1|p","4NIA|1|a+4NIA|1|p,4NIA|1|c+4NIA|1|r,4NIA|1|d+4NIA|1|s,4NIA|1|S+4NIA|1|h,4NIA|1|W+4NIA|1|l,4NIA|1|Y+4NIA|1|n,4NIA|1|b+4NIA|1|q,4NIA|1|U+4NIA|1|j,4NIA|1|R+4NIA|1|g,4NIA|1|V+4NIA|1|k,4NIA|1|T+4NIA|1|i,4NIA|1|P+4NIA|1|e,4NIA|1|Q+4NIA|1|f,4NIA|1|Z+4NIA|1|o,4NIA|1|X+4NIA|1|m,1A34|1|B+1A34|1|C,4OQ9|1|T+4OQ9|1|i,4OQ9|1|R+4OQ9|1|g,4OQ9|1|a+4OQ9|1|p,4OQ9|1|U+4OQ9|1|j,4OQ9|1|c+4OQ9|1|r,4OQ9|1|S+4OQ9|1|h,4OQ9|1|Q+4OQ9|1|f,4OQ9|1|V+4OQ9|1|k,4OQ9|1|Y+4OQ9|1|n,4OQ9|1|W+4OQ9|1|l,4OQ9|1|Z+4OQ9|1|o,4OQ9|1|d+4OQ9|1|s,4OQ9|1|P+4OQ9|1|e,7M50|1|X+7M50|1|m,4OQ9|1|X+4OQ9|1|m,4OQ9|1|b+4OQ9|1|q,4OQ8|1|B+4OQ8|1|C"
"NR_all_00436.1","9FIA|1|b4","9FIA|1|b4"
"NR_all_26486.1","9FIA|1|bJ","9FIA|1|bJ"
"NR_all_92665.1","9MTY|1|C+9MTY|1|D+9MTY|1|E+9MTY|1|F+9MTY|1|G","9MTY|1|C+9MTY|1|D+9MTY|1|E+9MTY|1|F+9MTY|1|G"
"NR_all_76884.2","9HQV|1|SF+9HQV|1|SU+9HQV|1|SJ+9HQV|1|SA+9HQV|1|SE+9HQV|1|SK+9HQV|1|SM+9HQV|1|SI+9HQV|1|SD+9HQV|1|SR","9HQV|1|SF+9HQV|1|SU+9HQV|1|SJ+9HQV|1|SA+9HQV|1|SE+9HQV|1|SK+9HQV|1|SM+9HQV|1|SI+9HQV|1|SD+9HQV|1|SR,9FIA|1|bO+9FIA|1|bE+9FIA|1|bA"
"NR_all_50581.1","9FIA|1|bP","9FIA|1|bP"
"NR_all_88759.1","9MW7|1|B+9MW7|1|C","9MW7|1|B+9MW7|1|C"
"NR_all_53712.1","9FIA|1|bR+9FIA|1|bD","9FIA|1|bR+9FIA|1|bD"
"NR_all_11093.1","9N6T|1|D+9N6T|1|B+9N6T|1|C","9N6T|1|D+9N6T|1|B+9N6T|1|C"
"NR_all_44627.1","9FIA|1|bT+9FIA|1|bN+9FIA|1|b2","9FIA|1|bT+9FIA|1|bN+9FIA|1|b2"
"NR_all_43136.1","9N7B|1|L2","9N7B|1|L2,9N7A|1|L2"
"NR_all_29232.1","9FIA|1|bY","9FIA|1|bY"
"NR_all_63369.1","9N9Q|1|c+9N9Q|1|a+9N9Q|1|b","9N9Q|1|c+9N9Q|1|a+9N9Q|1|b,9N9C|1|c,9N9M|1|c+9N9M|1|a+9N9M|1|b,9N9O|1|c+9N9O|1|a+9N9O|1|b"
"NR_all_89074.1","9FM4|1|A","9FM4|1|A"
"NR_all_72735.3","9FN3|1|B","9FN3|1|B,9FN2|1|A"
"NR_all_78176.1","9NHB|1|C+9NHB|1|B","9NHB|1|C+9NHB|1|B"
"NR_all_22241.3","9FN2|1|B","9FN2|1|B,9FN3|1|A"
"NR_all_78096.1","9FO8|2|A","9FO8|2|A"
"NR_all_10459.1","9NHS|1|C+9NHS|1|B","9NHS|1|C+9NHS|1|B"
"NR_all_82748.3","9FPZ|1|1","9FPZ|1|1,9FQ0|1|1"
"NR_all_18144.1","9NJF|1|M","9NJF|1|M"
"NR_all_15415.3","9FPZ|1|8","9FPZ|1|8,9FQ0|1|8"
"NR_all_35270.1","9FS6|1|5","9FS6|1|5"
"NR_all_49540.2","9NLV|1|L","9NLV|1|L,9NLV|1|K,9NLV|1|I,9NLV|1|G,9NLV|1|J,9NLV|1|H,9NLX|1|H,9NLX|1|G,9NLX|1|I"
"NR_all_91105.1","4OOG|1|D","4OOG|1|D"
"NR_all_28134.1","9FSF|1|5","9FSF|1|5"
"NR_all_26059.1","4P3U|1|C+4P3U|1|D","4P3U|1|C+4P3U|1|D"
"NR_all_86266.1","4P8Z|1|A","4P8Z|1|A"
"NR_all_66286.1","1A4D|1|A+1A4D|1|B","1A4D|1|A+1A4D|1|B"
"NR_all_43202.1","9FY0|1|5","9FY0|1|5"
"NR_all_69706.1","1A51|1|A","1A51|1|A"
"NR_all_10020.1","9NO4|1|N","9NO4|1|N"
"NR_all_01611.4","1A9L|1|A","1A9L|1|A,2A9L|1|A"
"NR_all_33558.3","4PCO|1|A+4PCO|1|B","4PCO|1|A+4PCO|1|B,4PCO|1|C+4PCO|1|D,4PCO|1|E"
"NR_all_74781.1","9FY3|1|9","9FY3|1|9"
"NR_all_54090.1","9NPU|1|T+9NPU|1|P+9NPU|1|D","9NPU|1|T+9NPU|1|P+9NPU|1|D"
"NR_all_89332.3","1A9N|1|Q","1A9N|1|Q,1A9N|1|R"
